Date,Predicted_Sales,Lower_Bound,Upper_Bound
2012-11-02,760260.94,722247.9,798273.94
2012-11-09,752672.75,715039.1,790306.4
2012-11-16,752385.5,714766.2,790004.75
2012-11-23,754594.9,716865.1,792324.56
2012-11-30,756442.06,718619.94,794264.1
2012-12-07,753063.6,715410.44,790716.75
2012-12-14,755506.4,717731.06,793281.7
2012-12-21,756005.8,718205.5,793806.06
2012-12-28,758044.6,720142.4,795946.8
2013-01-04,752115.2,714509.44,789720.94
2013-01-11,720896.06,684851.25,756940.8
2013-01-18,708718.94,673283.0,744154.9
2013-01-25,708594.6,673164.9,744024.3
2013-02-01,710411.75,674891.1,745932.3
2013-02-08,715302.7,679537.56,751067.8
2013-02-15,731642.9,695060.75,768225.0
2013-02-22,751275.4,713711.6,788839.1
2013-03-01,744434.56,707212.8,781656.25
2013-03-08,733369.8,696701.3,770038.25
2013-03-15,741313.6,704247.94,778379.25
2013-03-22,752578.6,714949.7,790207.5
2013-03-29,778417.1,739496.25,817337.94
2013-04-05,782119.44,743013.44,821225.4
2013-04-12,797774.06,757885.4,837662.75
2013-04-19,811624.0,771042.8,852205.2
2013-04-26,793603.44,753923.25,833283.56
2013-05-03,792707.44,753072.06,832342.75
2013-05-10,787625.56,748244.25,827006.8
2013-05-17,791293.3,751728.6,830857.94
2013-05-24,797019.06,757168.1,836870.0
